hotel_id,nom_hotel,type,pays,region,montant_facture,date_facture,date_echeance,date_paiement,relance_1,relance_2,statut_paiement,desactive,litige,jours_de_retard,montant_du,coeff_type,score_priorite
H0003,"Glass, Stephens and Moore",Chaîne,Allemagne,Europe,2850.1,2025-04-11,2025-05-11,,2025-05-16,2025-05-26,En retard,False,True,71,2850.1,1.0,202357.1
H0005,Morgan Ltd,Indépendant,Inde,Asie,1461.57,2025-05-01,2025-05-31,2025-07-08,2025-06-05,2025-06-15,Payé,False,False,38,0.0,1.5,0.0
H0011,Day-Garcia,Indépendant,Espagne,Europe,1126.58,2025-04-25,2025-05-25,2025-06-27,2025-05-30,2025-06-09,Payé,False,False,33,0.0,1.5,0.0
H0013,"Walter, Payne and Hunter",Chaîne,Canada,Amérique du Nord,3454.61,2025-04-24,2025-05-24,,2025-05-29,2025-06-08,En retard,True,False,58,3454.61,1.0,200367.38
H0015,Matthews Group,Chaîne,Thaïlande,Asie,3311.65,2025-05-26,2025-06-25,2025-07-26,2025-06-30,2025-07-10,En retard,False,True,31,3311.65,1.0,102661.15000000001
H0016,Hanna PLC,Chaîne,États-Unis,Amérique du Nord,3750.45,2025-04-03,2025-05-03,2025-06-09,2025-05-08,2025-05-18,Payé,False,False,37,0.0,1.0,0.0
H0017,"Washington, Richardson and Jones",Indépendant,Inde,Asie,1873.78,2025-04-12,2025-05-12,,2025-05-17,2025-05-27,En retard,True,False,70,1873.78,1.5,196746.90000000002
H0018,"Peterson, Patel and Salinas",Chaîne,Inde,Asie,3803.33,2025-04-24,2025-05-24,,2025-05-29,2025-06-08,En retard,True,False,58,3803.33,1.0,220593.13999999998
H0022,"Compton, Sosa and Brady",Indépendant,États-Unis,Amérique du Nord,4862.25,2025-05-05,2025-06-04,,2025-06-09,2025-06-19,En retard,True,False,47,4862.25,1.5,342788.625
H0023,"Phelps, West and Gentry",Chaîne,Thaïlande,Asie,848.91,2025-04-15,2025-05-15,,2025-05-20,2025-05-30,En retard,True,False,67,848.91,1.0,56876.97
H0024,Maldonado and Sons,Indépendant,Thaïlande,Asie,195.44,2025-04-18,2025-05-18,,2025-05-23,2025-06-02,En retard,False,True,64,195.44,1.5,18762.239999999998
H0027,Smith-Harrison,Indépendant,Mexique,Amérique du Nord,4825.38,2025-05-09,2025-06-08,,2025-06-13,2025-06-23,En retard,True,False,43,4825.38,1.5,311237.01
